Name	Platform No.	Track No.
Adamowo	1	1
Aleksandrów	1	1
Aleksandrów Kujawski	1	1,11
Aleksandrów Kujawski	1	2
Aleksandrów Kujawski	2	5
Andrychów	1	2
Andrychów	1	1
Andrychów Górnica	1	1
Andrzejówka	1	3
Andrzejówka	1	1
Anieliny	1	1
Anieliny	2	2
Antonin	1	1
Antonin	1	2
Antoniów	1	1
Antoniówka	1	1
Antoniówka	2	2
Arcelin	1	1
Augustów	1	4
Augustów	2	2
Augustów	2	1
Augustów Port	1	1
Augustówka	1	1
Augustówka	2	2
Babiak	1	4
Babiak	2	1
Babiak	2	2
Babica	1	1
Babica	2	2
Babica Kolonia	1	1
Babimost	1	2
Babimost	2	1
Baborówko	1	1
Baborówko	2	2
Baboszewo	2	1
Baby	1	1
Baby	2	2
Baciuty	1	1
Baciuty	1	3
Baciuty	2	2
Baciuty	2	4
Bajtkowo	1	1
Balin	1	1
Balin	2	2
Balinka	1	1
Bańska Niżna	1	1
Baranówka	1	2
Baranówka	1	1
Barchów	1	1
Barchów	2	2
Barcice	1	1
Barcząca	1	1
Barcząca	2	2
Barczewo	1	1
Barczewo	2	2
Barczewo	2	1
Bardo Przyłęk	1	2
Bardo Przyłęk	2	1
Bardo Śląskie	1	1
Bardo Śląskie	2	2
Barłogi	1	4A
Barłogi	2	5
Bartąg	1	1
Bartnica	1	1
Bartnica	2	2
Bartodzieje	1	1
Bartodzieje	2	2
Barwałd Górny	1	1
Barwałd Średni	1	1
Barwałd Średni	2	3
Barzkowice	1	1
Baszewice	1	1
Basznia	1	1
Basznia	1	3
Basznia Dolna	1	1
Batowice Lubańskie	1	1
Bażanowice	1	1
Bąk	1	4
Bąk	2	2
Bąk	3	1
Bąkowiec	2	1
Bąkowiec	2	2
Bąków	1	1
Bąków	2	2
Bednary	1	3
Bednary	1	1
Bednary	2	2
Bednary	2	4
Bedoń	1	1
Bedoń	2	2
Bedoń	3	1
Belęcin Wielkopolski	1	1
Bełchów	1	2
Bełchów	1	1
Bełsznica	1	1
Bełżec	1	3
Bełżec	2	3
Bełżec	2	1
Bełżec	3	1
Bełżec	3	2
Bełżec Drugi	1	1
Berejów	1	1
Berezów	1	1
Berezów	2	2
Besko	1	1
Bezwola	1	1
Będów	1	1
Będów	2	2
Będziemyśl	1	1
Będziemyśl	2	2
Będzin Ksawera	1	1
Będzin Ksawera	1	2
Będzin Miasto	1	1
Będzin Miasto	2	2
Będzino	1	1
Będźmierowice	1	1
Biadki	1	1
Biadki	1	2
Biadoliny	1	1
Biadoliny	2	2
Biała	1	1
Biała Pilska	1	2
Biała Pilska	2	1
Biała Piska	1	1
Biała Podlaska	1	2
Biała Podlaska	2	3
Biała Podlaska	2	1
Biała Podlaska Wschodnia	1	11
Biała Podlaska Wschodnia	2	12
Biała Szlachecka	1	1
Białki Siedleckie	1	1
Białki Siedleckie	2	2
Białogard	1	4
Białogard	2	1
Białogard	2	2
Białogard	3	5
Białogard	3	3
Białośliwie	1	1
Białośliwie	2	2
Białośliwie	2	4
Białuń	1	1
Białuń	1	2
Biały Bór	1	2
Biały Bór	1	1
Biały Bór	2	1
Biały Dunajec	1	2
Biały Dunajec	2	3
Biały Dunajec	2	1
Biały Kościół	1	3
Biały Kościół	2	1
Biały Zdrój Południowy	1	1
Białystok	1	4
Białystok	1	6
Białystok	2	1
Białystok	2	2
Białystok	3	5
Białystok	3	3
Białystok	4	11
Białystok Bacieczki	1	2
Białystok Bacieczki	2	1
Białystok Fabryczny	1	12
Białystok Nowe Miasto	1	3d
Białystok Stadion	1	1
Białystok Starosielce	1	1a
Białystok Zielone Wzgórza	1	2b
Białystok Zielone Wzgórza	1	1
Białystok Zielone Wzgórza	2	1b
Białystok Zielone Wzgórza	2	3b
Biecz	1	1
Biecz	2	5
Bieczyno Pomorskie	1	1
Bielany Wrocławskie	1	1
Bielany Wrocławskie	2	1
Bielin	1	1
Bielin	2	2
Bieliny Opoczyńskie	1	1
Bieliny Opoczyńskie	2	2
Bielsk Podlaski	1	5
Bielsk Podlaski	2	2
Bielsk Podlaski	2	1
Bielsko-Biała Główna	1	1
Bielsko-Biała Główna	1a	3
Bielsko-Biała Główna	2	4
Bielsko-Biała Główna	2	2
Bielsko-Biała Główna	3	12
Bielsko-Biała Główna	3	8
Bielsko-Biała Komorowice	1	1
Bielsko-Biała Komorowice	1	2
Bielsko-Biała Leszczyny	1	1
Bielsko-Biała Leszczyny	2	2
Bielsko-Biała Lipnik	1	1
Bielsko-Biała Lipnik	2	2
Bielsko-Biała Mikuszowice	1	1
Bielsko-Biała Mikuszowice	2	2
Bielsko-Biała Północ	1	1
Bielsko-Biała Północ	1	2
Bielsko-Biała Wschód	1	2
Bielsko-Biała Wschód	1	1
Bieniów	2	2
Bieniów	3	4
Bieniów	3	6
Bierawa	1	1,11
Bierawa	1	2
Bierkowice	1	2
Biernatowo	1	1
Biernatowo	2	2
Biernatowo	3	4
Bierutów	1	2
Bierutów	2	1
